Band,Genre,Subgenre,Song Title,Lyrics
The Beatles,Rock,Classic Rock,Yesterday,"[Verse 1]YesterdayAll my troubles seemed so far awayNow it looks as though they're here to stayOh, I believe in yesterday[Verse 2]SuddenlyI'm not half the man I used to beThere's a shadow hanging over meOh, yesterday came suddenly[Bridge]Why she had to goI don't know, she wouldn't sayI said something wrongNow I long for yesterday[Verse 3]YesterdayLove was such an easy game to playNow I need a place to hide awayOh, I believe in yesterday[Bridge]Why she had to goI don't know, she wouldn't sayI said something wrongNow I long for yesterday[Verse 3]YesterdayLove was such an easy game to playNow I need a place to hide awayOh, I believe in yesterday[Outro]Mmm-mmm-mmm-mmm-mmm, hmm-hmm"
The Beatles,Rock,Classic Rock,Let It Be,"[Verse 1]When I find myself in times of troubleMother Mary comes to meSpeaking words of wisdomLet it beAnd in my hour of darknessShe is standing right in front of meSpeaking words of wisdomLet it be[Chorus]Let it be, let it beLet it be, let it beWhisper words of wisdomLet it be[Verse 2]And when the broken-hearted peopleLiving in the world agreeThere will be an answerLet it beFor though they may be partedThere is still a chance that they will seeThere will be an answerLet it be[Chorus]Let it be, let it beLet it be, let it beYeah, there will be an answerLet it beLet it be, let it beLet it be, let it beWhisper words of wisdomLet it be[Instrumental Break][Guitar Solo][Chorus]Let it be, let it beLet it be, yeah, let it beWhisper words of wisdomLet it be[Verse 3]And when the night is cloudyThere is still a light that shines on meShine until tomorrowLet it beI wake up to the sound of musicMother Mary comes to meSpeaking words of wisdomLet it be, yeah[Outro]Let it be, let it beLet it be, yeah, let it beOh, there will be an answerLet it beLet it be, let it beLet it be, yeah, let it beOh, there will be an answerLet it beLet it be, let it beLet it be, yeah, let it beWhisper words of wisdomLet it be"
The Beatles,Rock,Classic Rock,In My Life,"[Verse 1: John Lennon & Paul McCartney]There are places I'll rememberAll my life, though some have changedSome forever, not for betterSome have gone and some remain[Chorus 1: John Lennon & Paul McCartney]All these places had their momentsWith lovers and friends, I still can recallSome are dead and some are livingIn my life, I've loved them all[Verse 2: John Lennon & Paul McCartney]But of all these friends and loversThere is no one compares with youAnd these memories lose their meaningWhen I think of love as something new[Chorus 2: John Lennon with Paul McCartney]Though I know I'll never lose affectionFor people and things that went beforeI know I'll often stop and think about themIn my life, I love you more[Piano Solo][Chorus 2: John Lennon & Paul McCartney]Though I know I'll never lose affectionFor people and things that went beforeI know I'll often stop and think about themIn my life, I love you more[Outro: John Lennon]In my life, I love you more"
The Beatles,Rock,Classic Rock,Hey Jude,"[Verse 1]Hey, Jude, don't make it badTake a sad song and make it betterRemember to let her into your heartThen you can start to make it better[Verse 2]Hey, Jude, don't be afraidYou were made to go out and get herThe minute you let her under your skinThen you begin to make it better[Bridge]And anytime you feel the pain, hey, Jude, refrainDon't carry the world upon your shouldersFor well you know that it's a fool who plays it coolBy making his world a little colderNa-na-na-na-na, na-na-na-na[Verse 3]Hey, Jude, don't let me downYou have found her, now go and get her(Let it out and let it in)Remember (Hey, Jude) to let her into your heartThen you can start to make it better[Bridge]So let it out and let it in, hey, Jude, beginYou're waiting for someone to perform withAnd don't you know that it's just you, hey, Jude, you'll doThe movement you need is on your shoulderNa-na-na-na-na, na-na-na-na, yeah[Verse 4]Hey, Jude, don't make it badTake a sad song and make it betterRemember to let her under your skinThen you'll begin to make it (Woah, fucking hell!)Better, better, better, better, better, better, oh[Outro]Yeah, yeah-yeah-yeah-yeah-yeah-yeahNa-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, Jude(Jude, Judy, Judy, Judy, Judy, Judy, ow-wow)Na-na-na-na-na-na-na (Na-na-na), na-na-na-na, hey, Jude(Jude, Jude, Jude, Jude, Jude)Na-na-na-na-na-na-na (Yeah, yeah, yeah), na-na-na-na, hey, Jude(You know you can make, Jude, Jude, you're not gonna break it)Na-na (Don't make it bad, Jude) na-na-na-na-na (Take a sad song and make it better), na-na-na-na, hey, JudeHey, Jude, hey, Jude wowNa-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, JudeJude, Jude, Jude, Jude, Jude, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, Jude(Na-na-na-na-na-na-na-na-na-na-na-na)Na-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na (Make it, Jude), na-na-na-na, hey, Jude(Yeah-yeah-yeah-yeah, yeah, yeah, yeah)Na-na-na-na-na-na-na, na-na-na-na, hey, Jude(Go listen to ya ma-ma-ma-ma-ma-ma-ma-ma)Na-na-na-na-na-na-na, na-na-na-na, hey, JudeNa-na-na-na-na-na-na, na-na-na-na, hey, Jude"
The Beatles,Rock,Classic Rock,Come Together,"[Intro]Shoot meShoot meShoot meShoot me[Verse 1]Here come old flat-top, he come grooving up slowlyHe got ju-ju eyeball, he one holy rollerHe got hair down to his kneeGot to be a joker, he just do what he please[Interlude]Shoot meShoot meShoot meShoot me[Verse 2]He wear no shoeshine, he got toe-jam footballHe got monkey finger, he shoot Coca-ColaHe say, ""I know you, you know me""One thing I can tell you is you got to be free[Chorus]Come together, right nowOver me[Interlude]Shoot meShoot meShoot meShoot me[Verse 3]He bag production, he got walrus gumbootHe got Ono sideboard, he one spinal crackerHe got feet down below his kneeHold you in his armchair, you can feel his disease[Chorus]Come together, right nowOver me[Interlude]Shoot meRightCome, come, come, come, come[Verse 4]He roller-coaster, he got early warnin'He got muddy water, he one mojo filterHe say, ""One and one and one is three""Got to be good-lookin', 'cause he's so hard to see[Chorus]Come together, right nowOver me[Interlude]Shoot meShoot meShoot meOh[Outro]Come together, yeahCome together, yeahCome together, yeahCome together, yeahCome together, yeahCome together, yeahCome together, yeahOhCome together, yeahCome together, yeah"
The Beatles,Rock,Classic Rock,Here Comes the Sun,"[Chorus]Here comes the sun (Doo-d-doo-doo)Here comes the sunAnd I say, ""It's alright""[Verse 1]Little darlingIt's been a long, cold, lonely winterLittle darlingIt feels like years since it's been here[Chorus]Here comes the sun (Doo-d-doo-doo)Here comes the sunAnd I say, ""It's alright""[Verse 2]Little darlingThe smile's returning to the facesLittle darlingIt seems like years since it's been here[Chorus]Here comes the sunHere comes the sunAnd I say, ""It's alright""[Bridge]Sun, sun, sun, here it comesSun, sun, sun, here it comesSun, sun, sun, here it comesSun, sun, sun, here it comesSun, sun, sun, here it comes[Verse 3]Little darlingI feel that ice is slowly meltingLittle darlingIt seems like years since it's been clear[Chorus]Here comes the sun (Doo-d-doo-doo)Here comes the sunAnd I say, ""It's alright""Here comes the sun (Doo-d-doo-doo)Here comes the sunIt's alrightIt's alright"
The Beatles,Rock,Classic Rock,Something,"[Verse 1]Something in the way she movesAttracts me like no other loverSomething in the way she woos me[Chorus]I don't want to leave her nowYou know I believe and how[Verse 2]Somewhere in her smile, she knowsThat I don't need no other loverSomething in her style that shows me[Chorus]I don't want to leave her nowYou know I believe and how[Bridge]You're asking me, will my love grow?I don't know, I don't knowYou stick around, now, it may showI don't know, I don't know[Instrumental Break 01:39-02:14][Guitar Solo][Verse 3]Something in the way she knowsAnd all I have to do is think of herSomething in the things she shows me[Chorus]I don't want to leave her nowYou know I believe and how"
The Beatles,Rock,Classic Rock,Eleanor Rigby,"[Intro: Paul McCartney, John Lennon & George Harrison]Ah, look at all the lonely people!Ah, look at all the lonely people![Verse 1: Paul McCartney]Eleanor RigbyPicks up the rice in the church where a wedding has beenLives in a dreamWaits at the windowWearing the face that she keeps in a jar by the doorWho is it for?[Chorus: Paul McCartney]All the lonely peopleWhere do they all come from?All the lonely peopleWhere do they all belong?[Verse 2: Paul McCartney]Father McKenzieWriting the words of a sermon that no one will hearNo one comes nearLook at him workingDarning his socks in the night when there's nobody thereWhat does he care?[Chorus: Paul McCartney]All the lonely peopleWhere do they all come from?All the lonely peopleWhere do they all belong?[Bridge: Paul McCartney, John Lennon & George Harrison]Ah, look at all the lonely people!Ah, look at all the lonely people![Verse 3: Paul McCartney]Eleanor RigbyDied in the church and was buried along with her nameNobody cameFather McKenzieWiping the dirt from his hands as he walks from the graveNo one was saved[Outro: Paul McCartney]All the lonely people (Ah, look at all the lonely people!)Where do they all come from?All the lonely people (Ah, look at all the lonely people!)Where do they all belong?"
The Beatles,Rock,Classic Rock,Blackbird,"[Verse 1]Blackbird singing in the dead of nightTake these broken wings and learn to flyAll your life, you were only waitingFor this moment to arise[Verse 2]Blackbird singing in the dead of nightTake these sunken eyes and learn to seeAll your life, you were only waitingFor this moment to be free[Chorus]Blackbird flyBlackbird flyInto the lightOf a dark, black nightBlackbird flyBlackbird flyInto the lightOf a dark, black night[Verse 3]Blackbird singing in the dead of nightTake these broken wings and learn to flyAll your life, you were only waitingFor this moment to arise[Outro]You were only waitingFor this moment to ariseYou were only waitingFor this moment to arise"
The Beatles,Rock,Classic Rock,A Day in the Life,"[Verse 1: John Lennon]I read the news today, oh boyAbout a lucky man who made the gradeAnd though the news was rather sadWell, I just had to laughI saw the photographHe blew his mind out in a carHe didn't notice that the lights had changedA crowd of people stood and staredThey'd seen his face beforeNobody was really sure if he was from the House of Lords[Verse 2: John Lennon]I saw a film today, oh boyThe English Army had just won the warA crowd of people turned awayBut I just had to lookHaving read the book[Refrain: John Lennon]I'd love to turn you on(Seven, eight, nine, ten, eleven, twelve…)Alarm clock rings[Bridge: Paul McCartney]Woke up, fell out of bedDragged a comb across my headFound my way downstairs and drank a cupAnd looking up I noticed I was lateFound my coat and grabbed my hatMade the bus in seconds flatFound my way upstairs and had a smokeAnd somebody spoke and I went into a dream[Interlude: John Lennon]Ahh-ah-ah-ahAh-ah-ah, ah-ah-ahh[Verse 3: John Lennon]I read the news today, oh boyFour thousand holes in Blackburn, LancashireAnd though the holes were rather smallThey had to count them allNow they know how many holes it takes to fill the Albert Hall[Refrain: John Lennon]I'd love to turn you on[Instrumental Outro](Seven, eight, nine, ten, eleven, twelve…)WhistleStudio chatter(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)(Never could be any other way)(Never been so highWhat’s that?)"
