Band,Genre,Subgenre,Song Title,Lyrics,neg,neu,pos,compound
The Beatles,Rock,Classic Rock,Yesterday,"Yesterday All my troubles seemed so far away Now it looks as though they're here to stay Oh, I believe in yesterdaySuddenly I'm not half the man I used to be There's a shadow hanging over me Oh, yesterday came suddenlyWhy she had to go I don't know, she wouldn't say I said something wrong Now I long for yesterdayYesterday Love was such an easy game to play Now I need a place to hide away Oh, I believe in yesterdayWhy she had to go I don't know, she wouldn't say I said something wrong Now I long for yesterdayYesterday Love was such an easy game to play Now I need a place to hide away Oh, I believe in yesterdayMmm-mmm-mmm-mmm-mmm, hmm-hmm",0.099,0.752,0.149,0.8126
The Beatles,Rock,Classic Rock,Let It Be,"When I find myself in times of trouble Mother Mary comes to me Speaking words of wisdom Let it be And in my hour of darkness She is standing right in front of me Speaking words of wisdom Let it beLet it be, let it be Let it be, let it be Whisper words of wisdom Let it beAnd when the broken-hearted people Living in the world agree There will be an answer Let it be For though they may be parted There is still a chance that they will see There will be an answer Let it beLet it be, let it be Let it be, let it be Yeah, there will be an answer Let it be Let it be, let it be Let it be, let it be Whisper words of wisdom Let it beLet it be, let it be Let it be, yeah, let it be Whisper words of wisdom Let it beAnd when the night is cloudy There is still a light that shines on me Shine until tomorrow Let it be I wake up to the sound of music Mother Mary comes to me Speaking words of wisdom Let it be, yeahLet it be, let it be Let it be, yeah, let it be Oh, there will be an answer Let it be Let it be, let it be Let it be, yeah, let it be Oh, there will be an answer Let it be Let it be, let it be Let it be, yeah, let it be Whisper words of wisdom Let it be",0.016,0.846,0.138,0.9856
The Beatles,Rock,Classic Rock,In My Life,"There are places I'll remember All my life, though some have changed Some forever, not for better Some have gone and some remainAll these places had their moments With lovers and friends, I still can recall Some are dead and some are living In my life, I've loved them allBut of all these friends and lovers There is no one compares with you And these memories lose their meaning When I think of love as something newThough I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life, I love you moreThough I know I'll never lose affection For people and things that went before I know I'll often stop and think about them In my life, I love you moreIn my life, I love you more",0.155,0.651,0.194,0.8943
The Beatles,Rock,Classic Rock,Hey Jude,"Hey, Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it betterHey, Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it betterAnd anytime you feel the pain, hey, Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Na-na-na-na-na, na-na-na-naHey, Jude, don't let me down You have found her, now go and get her(Let it out and let it in)Remember (Hey, Jude) to let her into your heart Then you can start to make it betterSo let it out and let it in, hey, Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey, Jude, you'll do The movement you need is on your shoulder Na-na-na-na-na, na-na-na-na, yeahHey, Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it (Woah, fucking hell!)Better, better, better, better, better, better, ohYeah, yeah-yeah-yeah-yeah-yeah-yeah Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude(Jude, Judy, Judy, Judy, Judy, Judy, ow-wow)Na-na-na-na-na-na-na (Na-na-na), na-na-na-na, hey, Jude(Jude, Jude, Jude, Jude, Jude)Na-na-na-na-na-na-na (Yeah, yeah, yeah), na-na-na-na, hey, Jude(You know you can make, Jude, Jude, you're not gonna break it)Na-na (Don't make it bad, Jude) na-na-na-na-na (Take a sad song and make it better), na-na-na-na, hey, Jude Hey, Jude, hey, Jude wow Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Jude, Jude, Jude, Jude, Jude, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude(Na-na-na-na-na-na-na-na-na-na-na-na)Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na (Make it, Jude), na-na-na-na, hey, Jude(Yeah-yeah-yeah-yeah, yeah, yeah, yeah)Na-na-na-na-na-na-na, na-na-na-na, hey, Jude(Go listen to ya ma-ma-ma-ma-ma-ma-ma-ma)Na-na-na-na-na-na-na, na-na-na-na, hey, Jude Na-na-na-na-na-na-na, na-na-na-na, hey, Jude",0.043,0.83,0.127,0.9787
The Beatles,Rock,Classic Rock,Come Together,"Shoot me Shoot me Shoot me Shoot meHere come old flat-top, he come grooving up slowly He got ju-ju eyeball, he one holy roller He got hair down to his knee Got to be a joker, he just do what he pleaseShoot me Shoot me Shoot me Shoot meHe wear no shoeshine, he got toe-jam football He got monkey finger, he shoot Coca-Cola He say, ""I know you, you know me""One thing I can tell you is you got to be freeCome together, right now Over meShoot me Shoot me Shoot me Shoot meHe bag production, he got walrus gumboot He got Ono sideboard, he one spinal cracker He got feet down below his knee Hold you in his armchair, you can feel his diseaseCome together, right now Over meShoot me Right Come, come, come, come, comeHe roller-coaster, he got early warnin'He got muddy water, he one mojo filter He say, ""One and one and one is three""Got to be good-lookin', 'cause he's so hard to seeCome together, right now Over meShoot me Shoot me Shoot me OhCome together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Oh Come together, yeah Come together, yeah",0.15,0.759,0.091,-0.918
The Beatles,Rock,Classic Rock,Here Comes the Sun,"Here comes the sun (Doo-d-doo-doo)Here comes the sun And I say, ""It's alright""Little darling It's been a long, cold, lonely winter Little darling It feels like years since it's been hereHere comes the sun (Doo-d-doo-doo)Here comes the sun And I say, ""It's alright""Little darling The smile's returning to the faces Little darling It seems like years since it's been hereHere comes the sun Here comes the sun And I say, ""It's alright""Sun, sun, sun, here it comes Sun, sun, sun, here it comes Sun, sun, sun, here it comes Sun, sun, sun, here it comes Sun, sun, sun, here it comesLittle darling I feel that ice is slowly melting Little darling It seems like years since it's been clearHere comes the sun (Doo-d-doo-doo)Here comes the sun And I say, ""It's alright""Here comes the sun (Doo-d-doo-doo)Here comes the sun It's alright It's alright",0.016,0.771,0.213,0.9846
The Beatles,Rock,Classic Rock,Something,"Something in the way she moves Attracts me like no other lover Something in the way she woos meI don't want to leave her now You know I believe and howSomewhere in her smile, she knows That I don't need no other lover Something in her style that shows meI don't want to leave her now You know I believe and howYou're asking me, will my love grow?I don't know, I don't know You stick around, now, it may show I don't know, I don't knowSomething in the way she knows And all I have to do is think of her Something in the things she shows meI don't want to leave her now You know I believe and how",0.063,0.76,0.178,0.9421
The Beatles,Rock,Classic Rock,Eleanor Rigby,"Ah, look at all the lonely people!Ah, look at all the lonely people!Eleanor Rigby Picks up the rice in the church where a wedding has been Lives in a dream Waits at the window Wearing the face that she keeps in a jar by the door Who is it for?All the lonely people Where do they all come from?All the lonely people Where do they all belong?Father Mc Kenzie Writing the words of a sermon that no one will hear No one comes near Look at him working Darning his socks in the night when there's nobody there What does he care?All the lonely people Where do they all come from?All the lonely people Where do they all belong?Ah, look at all the lonely people!Ah, look at all the lonely people!Eleanor Rigby Died in the church and was buried along with her name Nobody came Father Mc Kenzie Wiping the dirt from his hands as he walks from the grave No one was savedAll the lonely people (Ah, look at all the lonely people!)Where do they all come from?All the lonely people (Ah, look at all the lonely people!)Where do they all belong?",0.216,0.775,0.009,-0.9908
The Beatles,Rock,Classic Rock,Blackbird,"Blackbird singing in the dead of night Take these broken wings and learn to fly All your life, you were only waiting For this moment to ariseBlackbird singing in the dead of night Take these sunken eyes and learn to see All your life, you were only waiting For this moment to be freeBlackbird fly Blackbird fly Into the light Of a dark, black night Blackbird fly Blackbird fly Into the light Of a dark, black nightBlackbird singing in the dead of night Take these broken wings and learn to fly All your life, you were only waiting For this moment to ariseYou were only waiting For this moment to arise You were only waiting For this moment to arise",0.145,0.855,0.0,-0.9643
The Beatles,Rock,Classic Rock,A Day in the Life,"I read the news today, oh boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the House of LordsI saw a film today, oh boy The English Army had just won the war A crowd of people turned away But I just had to look Having read the bookI'd love to turn you on(Seven, eight, nine, ten, eleven, twelve…)Alarm clock ringsWoke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dreamAhh-ah-ah-ah Ah-ah-ah, ah-ah-ahhI read the news today, oh boy Four thousand holes in Blackburn, Lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the Albert HallI'd love to turn you on(Seven, eight, nine, ten, eleven, twelve…)Whistle Studio chatter(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)(Never could be any other way)(Never been so high What’s that?)",0.017,0.918,0.065,0.9562
